Campaign,Ad group,Sitelink text,Description line 1,Description line 2,Final URL
Budgero Search,,Pricing,$60/yr or $7.99 a month.,14 days free no card needed.,https://budgero.app/lp/budget-app#price
Budgero Search,,Switch From YNAB,Import your budget in 4 minutes.,History and categories preserved.,https://budgero.app/lp/ynab-alternative-switch
Budgero Search,,Multi-Currency Budget,100+ currencies in one budget.,Live FX rates no spreadsheets.,https://budgero.app/lp/budget-app-global
Budgero Search,,Zero-Knowledge Security,Encrypted before it leaves you.,We cannot read your data.,https://budgero.app/lp/budget-app#privacy
